"WorkID","Title","Status","Message","ImageFileName","MatchStatus","MatchMethod","MatchScore","DetailPage","ProductURL"
"RE-001759","Beau Lief Chapel","OK","Ready.","beau lief chapel drawing 14 x 17 rough sketch.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Beau-Lief-Chapel.html","https://clutter.co/product/beau-lief-drawing-ron-english/"
"RE-001763","Big Duck","OK","Ready.","big duck drawing 14 x 17 Primal Pop Duck series.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Big-Duck.html","https://clutter.co/product/big-duck-drawing-ron-english/"
"RE-001764","Dog Face Shell","OK","Ready.","dog face shell skull drawing  14 x 17 Primal Pop series.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Dog-Face-Shell.html","https://clutter.co/product/dog-face-shell-drawing-ron-english/"
"RE-001766","Elefanka on her High Horse","OK","Ready.","elefanka on her high horse drawing  14 x 17 Delusionville characters.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Elefanka-on-her-High-Horse.html","https://clutter.co/product/elefanka-on-her-high-horse-drawing-ron-english/"
"RE-001767","Eyeball DNA Dock","OK","Ready.","eyeball dna dock drawing  14 x 17 Primal Pop series.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Eyeball-DNA-Dock.html","https://clutter.co/product/eyeball-dna-dock-drawing-ron-english/"
"RE-001768","Fairy Snail","OK","Ready.","fairy snail drawing  14 x 17 Delusionville character.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Fairy-Snail.html","https://clutter.co/product/fairy-snail-drawing-ron-english/"
"RE-011971","The Ugliest Man in the Universe","OK","Ready.","The Ugliest Man in the Universe.jpg","OK","exact normalized basename","100","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\The-Ugliest-Man-in-the-Universe.html","https://clutter.co/product/the-ugliest-man-in-the-universe-drawing/"
"RE-011972","Flower Girl Profile","OK","Ready.","flower girl profile drawing 8 x 12 Petal Pal character study.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Flower-Girl-Profile.html","https://clutter.co/product/flower-girl-drawing-ron-english/"
"RE-011973","Flower Mermaid","OK","Ready.","flower mermaid drawing 8 x 12 Petal Pal character study.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Flower-Mermaid.html","https://clutter.co/product/flower-mermaid-drawing-ron-english/"
"RE-011974","Graff Mousemask","OK","Ready.","graff mousemask drawing 8 x 12 Delusionville study.jpg","OK","filename contains title","96","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Graff-Mousemask.html","https://clutter.co/product/graff-mousemask-drawing-ron-english/"
