"SortOrder","IndexTitle","AltText","DetailHref","DetailPath","DetailExists","ImageSrc","ImagePath","ImageExists","DetailMetaTitle","DetailDate","Medium","Dimensions","WorkID","MetaWorkID","SignatureMarks","DetailHeroImage","DetailHeroImageExists"
"1","Alien Frog Brain","Alien Frog Brain","../../../detail/paintings/2020s/2025/Alien-Frog-Brain.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Alien-Frog-Brain.html","YES","../../../images/Paintings/2020s/2025/alien_frog_brain.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\alien_frog_brain.jpg","YES","Alien Frog Brain","2025","Oil and acrylic on paper","24 × 36 inches","RE-001690","RE-001690","None observed.","../../../../images/Paintings/2020s/2025/alien_frog_brain.jpg","YES"
"2","Barney Grin Stencil","Barney Grin Stencil","../../../detail/paintings/2020s/2025/Barney-Grin-Stencil-1.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Barney-Grin-Stencil-1.html","YES","../../../images/Paintings/2020s/2025/barney_grin_stencil_1.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\barney_grin_stencil_1.jpg","YES","Barney Grin Stencil 1","2025","Spray paint on paper","24 × 36 inches","RE-001691","RE-001691","None observed.","../../../../images/Paintings/2020s/2025/barney_grin_stencil_1.jpg","YES"
"3","Bride of Patrick","Bride of Patrick","../../../detail/paintings/2020s/2025/Patrick-Bride.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Patrick-Bride.html","YES","../../../images/Paintings/2020s/2025/patrick_bride.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\patrick_bride.jpg","YES","Bride of Patrick","2025","Oil and acrylic on paper","24 × 36 inches","RE-001747","RE-001747","Signed “ENGLISH,” lower right.","../../../../images/Paintings/2020s/2025/patrick_bride.jpg","YES"
"4","Bronze Mousemask","Bronze Mousemask","../../../detail/paintings/2020s/2025/Bronze-Mousemask.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Bronze-Mousemask.html","YES","../../../images/Paintings/2020s/2025/bronze_mousemask.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\bronze_mousemask.jpg","YES","Bronze Mousemask","2025","Oil and acrylic on paper","24 × 36 inches","RE-001693","RE-001693","Signed ""ENGLISH,"" lower right.","../../../../images/Paintings/2020s/2025/bronze_mousemask.jpg","YES"
"5","Charlie Grin Stencil","Charlie Grin Stencil","../../../detail/paintings/2020s/2025/Charlie-Grin-Stencil.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Charlie-Grin-Stencil.html","YES","../../../images/Paintings/2020s/2025/charlie_grin stencil.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\charlie_grin stencil.jpg","YES","Charlie Grin Stencil","2025","Spraypaint on paper","24 × 36 inches","RE-001695","RE-001695","Signed ""ENGLISH,"" lower right.","../../../../images/Paintings/2020s/2025/charlie_grin stencil.jpg","YES"
"6","Dove Grenade","Dove Grenade","../../../detail/paintings/2020s/2025/Dove-Grenade.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Dove-Grenade.html","YES","../../../images/Paintings/2020s/2025/dove_grenade.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\dove_grenade.jpg","YES","Dove Grenade","2025","Oil and acrylic on paper","24 × 36 inches","RE-001696","RE-001696","Signed ""ENGLISH,"" lower right.","../../../../images/Paintings/2020s/2025/dove_grenade.jpg","YES"
"7","Elefanka","Elefanka","../../../detail/paintings/2020s/2025/Elefanka.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Elefanka.html","YES","../../../images/Paintings/2020s/2025/elefanka.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\elefanka.jpg","YES","Elefanka","2025","Oil and acrylic on paper","24 × 36 inches","RE-001697","RE-001697","Signed ""ENGLISH,"" lower right.","../../../../images/Paintings/2020s/2025/elefanka.jpg","YES"
"8","Fishbowl Astronaut","Fishbowl Astronaut","../../../detail/paintings/2020s/2025/Fishbowl-Astronaut.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Fishbowl-Astronaut.html","YES","../../../images/Paintings/2020s/2025/fishbowl_astronaut.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\fishbowl_astronaut.jpg","YES","Fishbowl Astronaut","2025","Oil and acrylic on paper","24 × 36 inches","RE-001698","RE-001698","None observed.","../../../../images/Paintings/2020s/2025/fishbowl_astronaut.jpg","YES"
"9","Flower Girl","Flower Girl","../../../detail/paintings/2020s/2025/Flower-Girl.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Flower-Girl.html","YES","../../../images/Paintings/2020s/2025/flower_girl.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\flower_girl.jpg","YES","Flower Girl","2025","Oil and acrylic on paper","24 × 36 inches","RE-001699","RE-001699","Signed “ENGLISH,” lower right.","../../../../images/Paintings/2020s/2025/flower_girl.jpg","YES"
"10","Forlorn Unicorn","Forlorn Unicorn","../../../detail/paintings/2020s/2025/Forlorn-Unicorn.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Forlorn-Unicorn.html","YES","../../../images/Paintings/2020s/2025/forlorn unicorn.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\forlorn unicorn.jpg","YES","Forlorn Unicorn","2025","Oil and acrylic on paper","24 × 36 inches","RE-001700","RE-001700","Signed “ENGLISH,” lower right.","../../../../images/Paintings/2020s/2025/forlorn unicorn.jpg","YES"
