"FileName","FullPath","Extension","SizeBytes","LastWriteTime","RelativeImagePath","IndexImageSrc","DetailImageSrc","TitleGuessFromFilename"
"beau lief chapel drawing 14 x 17 rough sketch.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\beau lief chapel drawing 14 x 17 rough sketch.jpg",".jpg","423456","5/20/2026 3:53:11 PM","images/Paintings/2020s/2026/beau lief chapel drawing 14 x 17 rough sketch.jpg","../../../images/Paintings/2020s/2026/beau lief chapel drawing 14 x 17 rough sketch.jpg","../../../../images/Paintings/2020s/2026/beau lief chapel drawing 14 x 17 rough sketch.jpg","Beau Lief Chapel Drawing 14 X 17 Rough Sketch"
"big duck drawing 14 x 17 Primal Pop Duck series.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\big duck drawing 14 x 17 Primal Pop Duck series.jpg",".jpg","341148","5/20/2026 3:53:12 PM","images/Paintings/2020s/2026/big duck drawing 14 x 17 Primal Pop Duck series.jpg","../../../images/Paintings/2020s/2026/big duck drawing 14 x 17 Primal Pop Duck series.jpg","../../../../images/Paintings/2020s/2026/big duck drawing 14 x 17 Primal Pop Duck series.jpg","Big Duck Drawing 14 X 17 Primal Pop Duck Series"
"delusionalframes-exhibition.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\delusionalframes-exhibition.jpg",".jpg","357735","5/20/2026 3:49:11 PM","images/Paintings/2020s/2026/delusionalframes-exhibition.jpg","../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg","Delusionalframes Exhibition"
"dog face shell skull drawing  14 x 17 Primal Pop series.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\dog face shell skull drawing  14 x 17 Primal Pop series.jpg",".jpg","374973","5/20/2026 3:53:13 PM","images/Paintings/2020s/2026/dog face shell skull drawing  14 x 17 Primal Pop series.jpg","../../../images/Paintings/2020s/2026/dog face shell skull drawing  14 x 17 Primal Pop series.jpg","../../../../images/Paintings/2020s/2026/dog face shell skull drawing  14 x 17 Primal Pop series.jpg","Dog Face Shell Skull Drawing 14 X 17 Primal Pop Series"
"Duck Mermaid.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\Duck Mermaid.jpg",".jpg","93003","5/20/2026 3:37:16 PM","images/Paintings/2020s/2026/Duck Mermaid.jpg","../../../images/Paintings/2020s/2026/Duck Mermaid.jpg","../../../../images/Paintings/2020s/2026/Duck Mermaid.jpg","Duck Mermaid"
"elefanka on her high horse drawing  14 x 17 Delusionville characters.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\elefanka on her high horse drawing  14 x 17 Delusionville characters.jpg",".jpg","300996","5/20/2026 3:53:14 PM","images/Paintings/2020s/2026/elefanka on her high horse drawing  14 x 17 Delusionville characters.jpg","../../../images/Paintings/2020s/2026/elefanka on her high horse drawing  14 x 17 Delusionville characters.jpg","../../../../images/Paintings/2020s/2026/elefanka on her high horse drawing  14 x 17 Delusionville characters.jpg","Elefanka On Her High Horse Drawing 14 X 17 Delusionville Characters"
"eyeball dna dock drawing  14 x 17 Primal Pop series.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\eyeball dna dock drawing  14 x 17 Primal Pop series.jpg",".jpg","513176","5/20/2026 3:53:15 PM","images/Paintings/2020s/2026/eyeball dna dock drawing  14 x 17 Primal Pop series.jpg","../../../images/Paintings/2020s/2026/eyeball dna dock drawing  14 x 17 Primal Pop series.jpg","../../../../images/Paintings/2020s/2026/eyeball dna dock drawing  14 x 17 Primal Pop series.jpg","Eyeball Dna Dock Drawing 14 X 17 Primal Pop Series"
"fairy snail drawing  14 x 17 Delusionville character.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\fairy snail drawing  14 x 17 Delusionville character.jpg",".jpg","293137","5/20/2026 3:53:15 PM","images/Paintings/2020s/2026/fairy snail drawing  14 x 17 Delusionville character.jpg","../../../images/Paintings/2020s/2026/fairy snail drawing  14 x 17 Delusionville character.jpg","../../../../images/Paintings/2020s/2026/fairy snail drawing  14 x 17 Delusionville character.jpg","Fairy Snail Drawing 14 X 17 Delusionville Character"
"flower girl profile drawing 8 x 12 Petal Pal character study.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\flower girl profile drawing 8 x 12 Petal Pal character study.jpg",".jpg","295689","5/20/2026 3:53:16 PM","images/Paintings/2020s/2026/flower girl profile drawing 8 x 12 Petal Pal character study.jpg","../../../images/Paintings/2020s/2026/flower girl profile drawing 8 x 12 Petal Pal character study.jpg","../../../../images/Paintings/2020s/2026/flower girl profile drawing 8 x 12 Petal Pal character study.jpg","Flower Girl Profile Drawing 8 X 12 Petal Pal Character Study"
"flower mermaid drawing 8 x 12 Petal Pal character study.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\flower mermaid drawing 8 x 12 Petal Pal character study.jpg",".jpg","351196","5/20/2026 3:53:16 PM","images/Paintings/2020s/2026/flower mermaid drawing 8 x 12 Petal Pal character study.jpg","../../../images/Paintings/2020s/2026/flower mermaid drawing 8 x 12 Petal Pal character study.jpg","../../../../images/Paintings/2020s/2026/flower mermaid drawing 8 x 12 Petal Pal character study.jpg","Flower Mermaid Drawing 8 X 12 Petal Pal Character Study"
"graff mousemask drawing 8 x 12 Delusionville study.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\graff mousemask drawing 8 x 12 Delusionville study.jpg",".jpg","229507","5/20/2026 3:53:17 PM","images/Paintings/2020s/2026/graff mousemask drawing 8 x 12 Delusionville study.jpg","../../../images/Paintings/2020s/2026/graff mousemask drawing 8 x 12 Delusionville study.jpg","../../../../images/Paintings/2020s/2026/graff mousemask drawing 8 x 12 Delusionville study.jpg","Graff Mousemask Drawing 8 X 12 Delusionville Study"
"gridiron grab drawing 14 x 17.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\gridiron grab drawing 14 x 17.jpg",".jpg","244815","5/20/2026 3:53:18 PM","images/Paintings/2020s/2026/gridiron grab drawing 14 x 17.jpg","../../../images/Paintings/2020s/2026/gridiron grab drawing 14 x 17.jpg","../../../../images/Paintings/2020s/2026/gridiron grab drawing 14 x 17.jpg","Gridiron Grab Drawing 14 X 17"
"Kaiju Clown.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\Kaiju Clown.jpg",".jpg","155916","5/20/2026 3:39:05 PM","images/Paintings/2020s/2026/Kaiju Clown.jpg","../../../images/Paintings/2020s/2026/Kaiju Clown.jpg","../../../../images/Paintings/2020s/2026/Kaiju Clown.jpg","Kaiju Clown"
"lil bigfoot drawing 8 x 12 Delusionville study.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\lil bigfoot drawing 8 x 12 Delusionville study.jpg",".jpg","342268","5/20/2026 3:53:18 PM","images/Paintings/2020s/2026/lil bigfoot drawing 8 x 12 Delusionville study.jpg","../../../images/Paintings/2020s/2026/lil bigfoot drawing 8 x 12 Delusionville study.jpg","../../../../images/Paintings/2020s/2026/lil bigfoot drawing 8 x 12 Delusionville study.jpg","Lil Bigfoot Drawing 8 X 12 Delusionville Study"
"MC snowglobe eyes drawing  14 x 17 Primal Pop.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\MC snowglobe eyes drawing  14 x 17 Primal Pop.jpg",".jpg","492524","5/20/2026 3:53:19 PM","images/Paintings/2020s/2026/MC snowglobe eyes drawing  14 x 17 Primal Pop.jpg","../../../images/Paintings/2020s/2026/MC snowglobe eyes drawing  14 x 17 Primal Pop.jpg","../../../../images/Paintings/2020s/2026/MC snowglobe eyes drawing  14 x 17 Primal Pop.jpg","MC Snowglobe Eyes Drawing 14 X 17 Primal Pop"
"paws profile drawing 8 x 12 Delusionville.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\paws profile drawing 8 x 12 Delusionville.jpg",".jpg","241604","5/20/2026 3:53:20 PM","images/Paintings/2020s/2026/paws profile drawing 8 x 12 Delusionville.jpg","../../../images/Paintings/2020s/2026/paws profile drawing 8 x 12 Delusionville.jpg","../../../../images/Paintings/2020s/2026/paws profile drawing 8 x 12 Delusionville.jpg","Paws Profile Drawing 8 X 12 Delusionville"
"rabbbit flower drawing 8 x 12 Delusionville Petal Pals.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\rabbbit flower drawing 8 x 12 Delusionville Petal Pals.jpg",".jpg","281088","5/20/2026 3:53:20 PM","images/Paintings/2020s/2026/rabbbit flower drawing 8 x 12 Delusionville Petal Pals.jpg","../../../images/Paintings/2020s/2026/rabbbit flower drawing 8 x 12 Delusionville Petal Pals.jpg","../../../../images/Paintings/2020s/2026/rabbbit flower drawing 8 x 12 Delusionville Petal Pals.jpg","Rabbbit Flower Drawing 8 X 12 Delusionville Petal Pals"
"santa flower drawing 8 x 12 Petal Pals.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\santa flower drawing 8 x 12 Petal Pals.jpg",".jpg","261742","5/20/2026 3:53:21 PM","images/Paintings/2020s/2026/santa flower drawing 8 x 12 Petal Pals.jpg","../../../images/Paintings/2020s/2026/santa flower drawing 8 x 12 Petal Pals.jpg","../../../../images/Paintings/2020s/2026/santa flower drawing 8 x 12 Petal Pals.jpg","Santa Flower Drawing 8 X 12 Petal Pals"
"slo moe evolution drawing 14 x 17 Delusionville Fairy Fable.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\slo moe evolution drawing 14 x 17 Delusionville Fairy Fable.jpg",".jpg","332076","5/20/2026 3:53:22 PM","images/Paintings/2020s/2026/slo moe evolution drawing 14 x 17 Delusionville Fairy Fable.jpg","../../../images/Paintings/2020s/2026/slo moe evolution drawing 14 x 17 Delusionville Fairy Fable.jpg","../../../../images/Paintings/2020s/2026/slo moe evolution drawing 14 x 17 Delusionville Fairy Fable.jpg","Slo Moe Evolution Drawing 14 X 17 Delusionville Fairy Fable"
"temper tot drawing 8 x 12 Delusionville.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\temper tot drawing 8 x 12 Delusionville.jpg",".jpg","251300","5/20/2026 3:53:22 PM","images/Paintings/2020s/2026/temper tot drawing 8 x 12 Delusionville.jpg","../../../images/Paintings/2020s/2026/temper tot drawing 8 x 12 Delusionville.jpg","../../../../images/Paintings/2020s/2026/temper tot drawing 8 x 12 Delusionville.jpg","Temper Tot Drawing 8 X 12 Delusionville"
"The Ugliest Man in the Universe.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\The Ugliest Man in the Universe.jpg",".jpg","138794","5/20/2026 3:41:19 PM","images/Paintings/2020s/2026/The Ugliest Man in the Universe.jpg","../../../images/Paintings/2020s/2026/The Ugliest Man in the Universe.jpg","../../../../images/Paintings/2020s/2026/The Ugliest Man in the Universe.jpg","The Ugliest Man In The Universe"
"uncle scam drawing 8 x 12 Primal Popaganda.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\uncle scam drawing 8 x 12 Primal Popaganda.jpg",".jpg","388503","5/20/2026 3:53:23 PM","images/Paintings/2020s/2026/uncle scam drawing 8 x 12 Primal Popaganda.jpg","../../../images/Paintings/2020s/2026/uncle scam drawing 8 x 12 Primal Popaganda.jpg","../../../../images/Paintings/2020s/2026/uncle scam drawing 8 x 12 Primal Popaganda.jpg","Uncle Scam Drawing 8 X 12 Primal Popaganda"
"weed seed drawing  14 x 17 Delusionville landscape.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2026\weed seed drawing  14 x 17 Delusionville landscape.jpg",".jpg","541405","5/20/2026 3:53:24 PM","images/Paintings/2020s/2026/weed seed drawing  14 x 17 Delusionville landscape.jpg","../../../images/Paintings/2020s/2026/weed seed drawing  14 x 17 Delusionville landscape.jpg","../../../../images/Paintings/2020s/2026/weed seed drawing  14 x 17 Delusionville landscape.jpg","Weed Seed Drawing 14 X 17 Delusionville Landscape"
