"Include","Title","Date","Medium","Dimensions","WorkID","SignatureMarks","MainImageFileName","DetailFileName","Notes","Exhibitions","Literature","ExtraDocumentationImageFiles","SourceURLs","InternalComments"
"YES","Beau Lief Chapel Drawing 14 X 17 Rough Sketch","2026","","","","None observed.","beau lief chapel drawing 14 x 17 rough sketch.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Big Duck Drawing 14 X 17 Primal Pop Duck Series","2026","","","","None observed.","big duck drawing 14 x 17 Primal Pop Duck series.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Delusionalframes Exhibition","2026","","","","None observed.","delusionalframes-exhibition.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Dog Face Shell Skull Drawing 14 X 17 Primal Pop Series","2026","","","","None observed.","dog face shell skull drawing  14 x 17 Primal Pop series.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Duck Mermaid","2026","","","","None observed.","Duck Mermaid.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Elefanka On Her High Horse Drawing 14 X 17 Delusionville Characters","2026","","","","None observed.","elefanka on her high horse drawing  14 x 17 Delusionville characters.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Eyeball Dna Dock Drawing 14 X 17 Primal Pop Series","2026","","","","None observed.","eyeball dna dock drawing  14 x 17 Primal Pop series.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Fairy Snail Drawing 14 X 17 Delusionville Character","2026","","","","None observed.","fairy snail drawing  14 x 17 Delusionville character.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Flower Girl Profile Drawing 8 X 12 Petal Pal Character Study","2026","","","","None observed.","flower girl profile drawing 8 x 12 Petal Pal character study.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Flower Mermaid Drawing 8 X 12 Petal Pal Character Study","2026","","","","None observed.","flower mermaid drawing 8 x 12 Petal Pal character study.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Graff Mousemask Drawing 8 X 12 Delusionville Study","2026","","","","None observed.","graff mousemask drawing 8 x 12 Delusionville study.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Gridiron Grab Drawing 14 X 17","2026","","","","None observed.","gridiron grab drawing 14 x 17.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Kaiju Clown","2026","","","","None observed.","Kaiju Clown.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Lil Bigfoot Drawing 8 X 12 Delusionville Study","2026","","","","None observed.","lil bigfoot drawing 8 x 12 Delusionville study.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","MC Snowglobe Eyes Drawing 14 X 17 Primal Pop","2026","","","","None observed.","MC snowglobe eyes drawing  14 x 17 Primal Pop.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Paws Profile Drawing 8 X 12 Delusionville","2026","","","","None observed.","paws profile drawing 8 x 12 Delusionville.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Rabbbit Flower Drawing 8 X 12 Delusionville Petal Pals","2026","","","","None observed.","rabbbit flower drawing 8 x 12 Delusionville Petal Pals.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Santa Flower Drawing 8 X 12 Petal Pals","2026","","","","None observed.","santa flower drawing 8 x 12 Petal Pals.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Slo Moe Evolution Drawing 14 X 17 Delusionville Fairy Fable","2026","","","","None observed.","slo moe evolution drawing 14 x 17 Delusionville Fairy Fable.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Temper Tot Drawing 8 X 12 Delusionville","2026","","","","None observed.","temper tot drawing 8 x 12 Delusionville.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","The Ugliest Man In The Universe","2026","","","","None observed.","The Ugliest Man in the Universe.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Uncle Scam Drawing 8 X 12 Primal Popaganda","2026","","","","None observed.","uncle scam drawing 8 x 12 Primal Popaganda.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
"YES","Weed Seed Drawing 14 X 17 Delusionville Landscape","2026","","","","None observed.","weed seed drawing  14 x 17 Delusionville landscape.jpg","","","","","","","Title is only guessed from filename. Replace with artist-given title before building pages."
